tanggal,akunbank,akunlawan,keterangan,debet,kredit,noCabang
01/02/24,110.129.0001,5.7.5.02,Transfer ELS - bayar 4 unit komputer untuk SDK Condongcatur,0,31746000,185
01/02/24,110.129.0001,211.003.09,Transfer BPD - Termin ke-1 Kegiatan Study Tiru ke Bali,0,42768000,185
01/02/24,110.129.0001,6.2.02,Biaya transfer BPD,0,2500,185
01/02/24,110.111,5.7.1.07,Pembelian BBM mobil avanza Kantor YKCY,0,300000,185
01/02/24,110.111,212.002,Tambahan administrasi Tabayas untuk Frater,0,488982,185
01/03/24,110.111,4.1.3.05,Angsuran Pembangunan SDK Babadan,1650000,0,185
01/03/24,110.111,211.003.07,Kolekte Adven Desember 2023 - SDK Babadan,145000,0,185
01/03/24,110.111,212.002,Simp. Wajib TKK Kadirojo,15000,0,185
01/03/24,110.111,212.002,Simp. Sukarela TKK Kadirojo,400000,0,185
01/03/24,110.111,212.002,Simp. Wajib SDK Kadirojo,20000,0,185
01/03/24,110.111,212.002,Simp. Sukarela SDK Kadirojo,100000,0,185
01/03/24,110.111,212.002,Taskanta SDK Kadirojo,80000,0,185
01/03/24,110.111,211.003.12,Bantuan dari panitia MPK College De Brito 2023 untuk YKCY,10000000,0,185
01/03/24,110.111,5.7.1.05,Pembelian snack tamu dari MPK College De Brito,0,79000,185
01/03/24,110.111,5.7.1.04,"Belanja gula, teh dan kopi rumah tangga Kantor YKCY",0,167000,185
01/03/24,110.111,5.7.1.11,Belanja sarana kebersihan Kantor YKCY,0,167400,185
01/04/24,110.111,212.002,Simp. Sukarela - TKK Pingitan,150000,0,185
01/04/24,110.111,212.002,Simp. Sukarela - TKK Klepu,100000,0,185
01/04/24,110.111,212.001,Iuran Kesehatan PNS _SDK Jomegatan,139471,0,185
01/04/24,110.111,212.002,Simp. Wajib _SDK Jomegatan,15000,0,185
01/04/24,110.111,212.002,Simp. Wajib TKK Minggir,20000,0,185
01/04/24,110.111,212.002,Simp. Sukarela TKK Minggir,100000,0,185
01/04/24,110.111,212.002,Taskanta TKK Minggir,10000,0,185
01/04/24,110.111,5.1.2.04,Tunj.KS TKK Wirobrajan,0,175000,185
01/04/24,110.111,212.001,Iuran Kesehatan PNS TKK Wirobrajan,131575,0,185
01/04/24,110.111,212.002,Simp. Sukarela TKK Wirobrajan,100000,0,185
01/04/24,110.111,212.002,Taskanta TKK Wirobrajan,5000,0,185
01/04/24,110.111,212.002,Pokok TKK Wirobrajan,1250000,0,185
01/04/24,110.111,212.002,Bunga TKK Wirobrajan,462500,0,185
01/04/24,110.111,5.1.2.04,Tunj.KS TKK Wirobrajan,0,175000,185
01/04/24,110.111,212.001,Iuran Kesehatan PNS TKK Wirobrajan,131575,0,185
01/04/24,110.111,212.002,Simp. Sukarela TKK Wirobrajan,100000,0,185
01/04/24,110.111,212.002,Taskanta TKK Wirobrajan,5000,0,185
01/04/24,110.111,212.002,Pokok TKK Wirobrajan,1250000,0,185
01/04/24,110.111,212.002,Bunga TKK Wirobrajan,462500,0,185
01/04/24,110.111,212.002,Simp. Sukarela TKK Kintelan,200000,0,185
01/04/24,110.111,212.002,Taskanta TKK Kintelan,200000,0,185
01/04/24,110.111,5.1.2.04,Tunjangan KS SDK Minggir,0,275000,185
01/04/24,110.111,212.002,Simp. Wajib SDK Minggir,20000,0,185
01/04/24,110.111,212.002,Simp. Sukarela SDK Minggir,200000,0,185
01/04/24,110.111,212.002,Taskanta SDK Minggir,10000,0,185
01/04/24,110.111,212.002,Kontribusi SDK Minggir,5000,0,185
01/04/24,110.111,211.003.09,Titipan Iuran Studi Tiru KS  SDK Minggir,300000,0,185
01/04/24,110.111,5.1.2.04,Tunjangan Kepala Sekolah TKK Pulutan,0,100000,185
01/04/24,110.111,212.002,Simp. Wajib TKK Pulutan,50000,0,185
01/04/24,110.111,212.002,Simp. Sukarela TKK Pulutan,400000,0,185
01/04/24,110.111,212.002,Taskanta TKK Pulutan,110000,0,185
01/04/24,110.111,211.003.09,Titipan Iuran Studi Tiru KS TKK Pulutan,300000,0,185
01/04/24,110.111,211.003.07,Kolekte Adven Desember 2023 - SDK Gayam,123800,0,185
01/04/24,110.111,5.8.03,Stipendium 2 Romo misa Natalan Bersama Kepala Sekolah YKCY,0,2000000,185
01/04/24,110.111,5.8.03,Subsidi konsumsi Natalan Bersama Kepala Sekolah YKCY,0,1700000,185
01/04/24,110.111,5.7.5.01,Dansos melayat meninggalnya Pak Agus tetangga Kantor YKCY,0,200000,185
01/05/24,110.111,5.1.2.04,Tunjangan Kepala Sekolah TKK Notoyudan,0,100000,185
01/05/24,110.111,212.002,Simp. Wajib TKK Notoyudan,25000,0,185
01/05/24,110.111,212.002,Simp. Sukarela TKK Notoyudan,50000,0,185
01/05/24,110.111,212.002,Taskanta TKK Notoyudan,60000,0,185
01/05/24,110.111,211.003.09,Titipan Iuran Studi Tiru KS TKK Notoyudan,250000,0,185
01/05/24,110.111,5.7.1.04,Pembelian 2 galon aqua Kantor YKCY,0,38000,185
01/06/24,110.111,5.7.1.05,Konsumsi makan siang zoom satgus SAK,0,44000,185
01/08/24,110.111,5.7.1.10,Konsumsi tukang tebang pohon,0,30000,185
01/08/24,110.111,5.7.1.11,Ongkos tukang tebang dan biaya angkut pembuangan,0,350000,185
01/08/24,110.111,5.7.1.05,Konsumsi pengawas dan personalia Zoom Meeting,0,182500,185
01/08/24,110.111,5.7.1.05,Pembelian snack Romo dan Notaris urusan tanah SDK Kalasan,0,210000,185
01/08/24,110.111,5.7.1.05,Konsumsi makan siang Tamu Romo Badan Pengurus Kanisius,0,451000,185
01/08/24,110.111,5.7.5.01,Dansos musibah rumah rusak - Alb. Nugroho SDK Pugeran,0,1000000,185
